,Text,Manual_1,Manual_2 
10,Urban services and housing for the poor 33 P Other accountabilityanticorruption 33 P Municipal governance and institution building 17 S Public expenditure financial management and procurement 17 S,16.6,16.5
11,LASG committed to follow the principles o f the RPF for LMDGP for any infrastructure upgrading in the metropolitan area ESIA and RPF Framework have been preparedby LASG A Conflict resolution mechanism i s established Communities have been sensitized and mobilized to participate A strong communications component i s an integral element o f the Project,16.7,0
12,offered and people mediation strengthened to ensure that disputes and conflicts are handled at the village level where possible,16.1,0
13,Reported cases at clinics Number of documented conflicts and nature and seriousness of conflicts,16.1,0
14,52 A third component of regulatory risk is regulatorygovernance InBrazil infrastructure regulatory laws are imprecise about accountability and transparency Beyond formal independence it i s essential that regulatory agencies explain the rationale for their decisions Even the wellviewed ANEEL has receivedcriticism inthis regard Furthermorejudicial review of regulatory decisions takes place at the first level of the judiciary which lacks relevant,16.6,16.7
15,Establishesflexible and modernjudicial and extrajudicial restructuring proceedings to replace the ineffective concordata,0,0
16,protect the peopleas rights of information participation expression and supervision practically Public participation during land,16.7,16.10
17,The future submission and approval of this amendment by Congress i s a key future challenge combined with the strengthening of the cadre of antitrust regulator within the Government Measures of progress are the number of hard core cartel prosecutions and the adoption of premerger notification to,16.5,16.4
18,policies and improving the work of the peoples government at the same level and 6 Giving instructions to the handling of complaint,0,0
19,Public access to information on contracts and schedules will change prior practices and the community spirit mobilization and watchfbl monitoring by CDAs and CTCs will mark a new openness to popular consultation for infrastructure operations inNigeria Accountability refers to the ability to call state officials public employees or private actors making them accountable for their policies actions and use o f finds States Local Governments and Communities must have horizontal or internal accountability mechanisms and must also be accountable to their citizens and clients for their performance,16.6,16.7
20,The manner of operationalization of the AntiCorruption Guidelines under the Program has been agreed with the Finance Department Key commitments under the Program in this area and how these commitments would be implemented are as follows a All appropriate measures will be undertaken to ensure that the Program is carried out in accordance with the PforR AntiCorruption Guidelines,16.5,16.a
21,The Law of the Peoples Republic of China on Regional National Autonomy stipulates in dealing with special issues concerning the various nationalities within its area the organ of selfgovernment of a national autonomous area must conduct full consultation with their representatives and respect their opinions the organ of selfgovernment of a national autonomous area shall guarantee that citizens of the various nationalities in the area enjoy the rights of citizens prescribed in the Constitution and shall educate them in the need to perform their duties as citizens,16.7,0
22,With thirty six trained and certified mediators located in six offices in Lagos the C M C has built public trust with its free services and impartial management o f disputes I t s greatest attractions for the public are its impartiality and speed o f resolution even in disputes involving individuals and the government,16.1,16.3
23,1 Article 41 of the Constitution of It directs the State to provide public assistance to its citizens in the case of,0,0
24,3 civil affairs authorities It should be changed to,0,0
25,This makes it difficult to reverse the culture o f nonpayment for government services that has become entrenched in Lagos and Nigeria following years o f failed promises during the military years and the breakdown in basic systems for taxation and user charges due to corruption and patronage Institutions have become weak and the technical and management skills in the public sector have,16.5,0
26,In addition to reestablishing peace the accord recognized the ethnic peopleas right to land culture language and religion The accord sets out detailed provisions for strengthening the system of selfgovernance in the CHT and redressing the most urgent landrelated problems A Ministry of CHT Affairs was established by appointing a minister from among the tribal people of CHTs Advisory council from the CHT region assists this ministry It may be noted that tribal peopleindigenous people living in the plains are less than 1 percent of the mainstream population,16.7,0
27,The partnership between DFID and IDA and other donors i s crafted to ensure coherence in the efforts to support LASGs priorities iGovernance reforms DFID will strengthen LASGs Board o f Internal Revenue BIR to ensure that the gains made so far on the revenue side are not reversed LMDGP support i s focused on the budgeting and expenditure side iiInformation Technology for Citizen Access The Directorate for Citizens Rights CRD under the Ministry o f Justice offers free access for human rights and consumer protection access to public defenders and free citizens mediation see Annex 17,16.a,16.10
28,78 Since2001 importantprogress has been achieved in the enforcement of competition law in Brazil There has been increasing emphasis on cartel investigations In2002 CADE condemned two collusion between gasoline stations inFlorian6polis SC and Goiinia GO In September 2002 260 cartel investigations in30 different industries had been started by SDE Several institutional measures have been taken including the launching of a Leniency Program and the signing of an agreement with FederalPolice both aiming to improve investigative techniques,16.5,16.4
29,screening mitigation measures implementation information disclosure public participation and grievance redress mechanism GRM Disclose to the public with the hotlines and contacts of GRM and establish an effective external communication mechanism In order to implement the above recommendations the following actions should be included in the Program Action Plan PAP,16.6,0
30,Communication campaign and the policy dialogue The communication campaign and the policy dialogue on a variety of development issues had partial success The systematic monitoring of the project was weak and only 8 out of 30 Citizenas Mediation Centers CMCs were built However these 8 mediation centers are completely operational and have brought a new and pragmatic way to address legal issues in Nigeria These centers have supported equitable justice by providing a rancor free inexpensive dispute resolution option Services offered by CMCs include landlordtenant employeremployee employee compensation family and marital cases,16.a,16.1
31,The World Bankas right to conduct an inquiry into such allegations or other indications independently or in collaboration with the borrower regarding activities and expenditures supported by the Program as well as its right to access to the required persons information and documents will be observed in accordance with the standard arrangements for this purpose between the Government and the World Bank The Programas Legal Agreement will also oblige the client to fully comply with obligations under the World Bankas AntiCorruption Guidelines for PforR operations,16.5,0
32,Policy basis for ethnic minority development The Law of the Peoples Republic of China on Regional National Autonomy stipulates when developing resources or carrying out construction in a national autonomy area the state shall protect its interests make arrangements favorable to its economic development and local minority residentsa production and livelihoods and include major ecological balance and environmental protection projects in the local national economic and social development plan,16.7,16.b
33,It is reported that overall compliance status of Environmental Management Plan EMP and implementation of Resettlement Action Plan RAP at various subproject sites is satisfactory Stakeholder engagement and grievance management are also satisfactorily complied with through Focus Group Discussion FGD personal contact and Samity Board in every PBS where local people are represented through election to address the needs and complaints of the affected people including indigenous people and tribal people,16.7,0
34,23 Further measures wouldfoster multimodal transport i appropriate regulations and conflict resolution mechanisms for multimodal operations and ii the strengthening of transport planning and the promotion of publicprivate partnerships PPP to develop critical investments,0,0
35,Fraud and corruption risks The Government has institutions in place to combat fraud and corruption These institutions are designed to prevent report detect investigate prosecute and sanction fraud and corruption These institutions include the discipline inspection commissions within all implementation agencies supervision bureaus anticorruption bureaus under Peopleas Procuratorates and audit offices all at central provincial prefectural and county levels These agencies have comprehensive mandates to combat fraud and corruption Any bidder or any party can report fraud and corruption issues to any of these government agencies,16.5,0
36,Activities o f the Directorate o f Citizens Rights in Lagos particularly the CMC have become o f great interest to Attorney Generals o f other States in Nigeria who agreed at their 58th professional body meetingin October 2003 to establish similar Directorates intheir States,0,0
37,Law reformmay also improve governanceand efficiency Decisions over merger cases have raised concerns domestically and internationally of CADEs independence Disputes over large and controversial cases are not uncommon but the risk of politicization may be reducedby changing the appointment mechanism for the commissioners for example limiting commissioners appointments to a longer but single term Law reform might also provide for a better distribution of legal authority coupled with better accountability mechanisms to enhance authorities incentives to successfully prosecute anticompetitive behavior Revision of CADEs decisions by firstlevel courts may alsojeopardize the effectiveness of competition enforcement,16.a,16.6
38,Procurement for the proposed TA component of the project will be carried out in accordance with Procurement Regulations for IPF Borrowers for Goods Works NonConsulting and Consulting Services dated July 1 2016 Revised Nov 2017 and Aug 2018 hereinafter referred to as aRegulationsa and the provisions stipulated in the Legal Agreement The TA will be subject to the World Bankas AntiCorruption Guidelines dated October 15 2006 as revised in 2011 and 2016 Procurement risk assessment and mitigation,16.5,0
39,196 The Government is preparing the groundfor judicial reforms to try to reduce inefficiencies in contract enforcement comingfrom court delays and uncertainty over the basis of legal decisions Despite exploratory analytical worko9 this i s an area where the Bank has not maintained an intense dialogue with the Brazilian Government to date This loan does not directly support reforms inthis area despite the fact that this area could be a crucial reform for increasing economic growth in the next few years,0,0
40,Implementation o f LMDGP will pose significant social challenges particularly with respect to managing the conflicts that are likely to arise due to the communities institutions businesses and individual members o f the public who might be affected by the Project despite the Project being predicated on the fundamental principle o f eliminating or at least minimizing involuntary resettlement or dislocation,0,0
41,The Fiduciary System Assessment FSA followed the World Bankas Policy for PforR and the related Directive and concluded that Program fiduciary systems for Procurement financial Management and Governance and AntiCorruption provide reasonable assurance that the financing proceeds would be used for intended purposes with due attention to the principles of economy efficiency effectiveness transparency and accountability The Program implementing agencies have a strong budget execution and implementation track record and adequate auditing arrangements are in place,0,0
42,Proposed fiduciary implementation support includes the following a Review Program implementation progress including achievement of Program results and PAP implementation a Assess timeliness and adequacy of Program fund appropriation as approved in the budget a Continuously assess and monitor the performance of the FM and procurement systems under the Program and provide suggestions for enhanced efficiency and effectiveness a Monitor application of the PforR anticorruption guidelines a Monitor performance of the fiduciary systems and the audit report including the implementation of the PAP a Monitor the PforR financial statement reporting process and assist the client as necessary,0,0
43,designed to primarily address the Information Education and Communications IEC needs o f L A S G during preparation and implementation phases o f the Project On a secondary level the strategy also aims to address the internal needs o f LASG as it progresses its institutionalization o f good governance and accountability in urban management Annex 8 iii Conflict Resolution USU This component will support the timely preparation and execution of resettlement and rehabilitation action plans and mitigation incompliance with the Resettlement Policy Framework RPF,16.a,0
44,To ensure that procurement related complaints are treated in a timely and fair manner the State Finance department nodal agency will setup a dedicated complaint handling system allowing complaints to be posted by interested parties Also specific arrangements are defined in action items to ensure compliance with anticorruption guidelines of the World Bank For the IPF Component of the Operation the procurement arrangement will be governed by the World Bank Procurement Regulations for Borrowers effective from July 1 2016 amended in July 2017 and Aug 2018,16.a,16.5
45,The efficient management o f such potential conflict i s paramount to the success o f the Project and ultimately to resolving the long term flooding problems that plague the citizens o f Lagos Strong information management and dissemination on a continuous and inclusive basis and Alternative Dispute Resolution ADR structures would substantially reduce most o f the tensions anxieties and resistance usually associated with a Project on this scale,16.6,16.1
46,67 Legal reform could also improvegovernance and efficiency Decisions on mergers have raisedconcerns over the independence of CADE Disputes over large and controversial cases are not uncommon but the risk of their being politicized could be reduced by an increase inthe term appointment of commissioners Legal attributions might also be better allocated coupled with mechanisms for greater accountability Revision of CADE decisions by firstlevel courts may also jeopardize its effectiveness Premerger notification would reduce conflicts while revised merger thresholds might reduce the number of mergers to be reviewed by the authorities,16.6,0
47,Implementation of the Program will be aligned with the ACGs applicable to PforR operations that is aGuidelines on Preventing and Combating Fraud and Corruption in Program forResults Financinga dated February 1 2012 and revised on July 10 2015 The following mitigation measures as per Bankas Fraud and Corruption Guidelines will apply The Office of the Comptroller Auditor General CAG of India which is the Supreme Audit Institution has the constitutional mandate under Article 1512 of the constitution to audit all public funds and entities External Risks to project outcomes,16.5,0
48,The Implementing Entity will prepare and adopt an Operation Manual that contains guidance and projections to support the implementation of the Operation including the Program Action Plan the Anticorruption Guidelines Protocol and the Verification Protocol as well as guidance for the compliance with fiduciary environmental social and other obligations for the implementation of the Project The implementing agencies in the Program will be four Government departmentsagencies given in the table below along with the nature of Program Expenditure,16.5,0
49,In addition residents of the state including stakeholders of the program can register their grievances through various means in writing a through letters email or text messages and also over telephone through a dedicated tollfree number with the Program Implementation and Grievance Cell set up under the Office of the Chief Minister GoWB and seek to resolve their grievances within 7 days,16.7,16.6
50,Significantly reduce all forms of violence and related death rates everywhere,16.1,0
51,"Number of victims of intentional homicide per 100,000 population, by sex and age",16.1,0
52,"Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months",16.1,0
53,Proportion of population that feel safe walking alone around the area they live after dark,16.1,0
54,"Conflict-related deaths per 100,000 population, by sex, age and cause",16.1,0
55,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2,0
56,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,16.2,0
57,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",16.2,0
58,Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,16.2,0
59,Promote the rule of law at the national and international levels and ensure equal access to justice for all,16.3,0
60,Unsentenced detainees as a proportion of overall prison population,16.3,0
61,Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,16.3,0
62,"Proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",16.3,0
63,"By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime",16.4,0
64,"Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",16.4,0
65,Total value of inward and outward illicit financial flows (in current United States dollars),16.4,0
66,Substantially reduce corruption and bribery in all their forms,16.5,0
67,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",16.5,0
68,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",16.5,0
69,"Develop effective, accountable and transparent institutions at all levels",16.6,0
70,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",16.6,0
71,Proportion of population satisfied with their last experience of public services,16.6,0
72,"Ensure responsive, inclusive, participatory and representative decision-making at all levels",16.7,0
73,"Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",16.7,0
74,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",16.7,0
75,Broaden and strengthen the participation of developing countries in the institutions of global governance,16.8,0
76,Proportion of members and voting rights of developing countries in international organizations,16.8,0
77,"By 2030, provide legal identity for all, including birth registration",16.9,0
78,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",16.9,0
79,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",16.10,0
80,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",16.10,0
81,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",16.10,0
82,"Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime",16.a,0
83,Existence of independent national human rights institutions in compliance with the Paris Principles,16.a,0
84,Promote and enforce non-discriminatory laws and policies for sustainable development,16.b,0
85,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,16.b,0
